GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teachersFirst,edu.lwtech.csd297.teachersfirst.pojos,JsonUtils,19,160,4,22,1,35,5,11,1,2
teachersFirst,edu.lwtech.csd297.teachersfirst.pojos,Appointment,0,202,0,34,0,39,0,30,0,13
teachersFirst,edu.lwtech.csd297.teachersfirst.pojos,Opening,0,165,0,26,0,34,0,24,0,11
teachersFirst,edu.lwtech.csd297.teachersfirst.pojos,Member,32,521,4,86,7,108,6,77,3,34
teachersFirst,edu.lwtech.csd297.teachersfirst.pojos,Service,106,154,19,23,21,43,20,15,5,9
teachersFirst,edu.lwtech.csd297.teachersfirst.pojos,Transaction,143,0,28,0,31,0,22,0,8,0
teachersFirst,edu.lwtech.csd297.teachersfirst,DateHelpers,41,344,7,25,19,70,8,27,2,17
teachersFirst,edu.lwtech.csd297.teachersfirst,QueryHelpers,136,42,21,1,28,11,20,2,9,2
teachersFirst,edu.lwtech.csd297.teachersfirst,Security,86,56,6,2,20,17,7,7,4,6
teachersFirst,edu.lwtech.csd297.teachersfirst,DataManager,33,153,4,8,5,57,5,10,1,8
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,OpeningsPage,254,0,20,0,55,0,12,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,PageLoader,292,0,10,0,81,0,12,0,7,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,ServicesPage,51,0,2,0,13,0,3,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,NewOpeningsPage,186,0,14,0,31,0,9,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,DynamicCssFile,98,0,4,0,19,0,4,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,DiagnosticsPage,271,0,32,0,52,0,19,0,3,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,ConfirmMakeAppointmentPage,159,0,6,0,35,0,5,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,LoginPage,28,0,0,0,7,0,2,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,AppointmentsPage,208,0,22,0,46,0,13,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,MembersPage,46,0,6,0,10,0,5,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,OpeningsPage.PrettifiedOpening,68,0,2,0,17,0,10,0,9,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,MakeAppointmentPage,259,0,16,0,57,0,10,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,RegisterPage,83,0,0,0,17,0,2,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,ProfilePage,96,0,14,0,22,0,9,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,LogoutPage,17,0,0,0,5,0,2,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,OpeningsPage.PrettifiedDay,38,0,0,0,10,0,5,0,5,0
teachersFirst,edu.lwtech.csd297.teachersfirst.pages,AppointmentsPage.PrettifiedAppointment,80,0,0,0,21,0,11,0,11,0
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,SQLRow,82,77,7,5,22,17,12,6,8,4
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,SQLUtils,329,107,12,8,89,30,13,6,5,4
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,OpeningSqlDAO,367,36,35,1,92,13,28,4,10,4
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,AppointmentSqlDAO,372,36,35,1,92,13,28,4,10,4
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,MemberSqlDAO,384,164,40,6,94,39,31,9,10,7
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,MemberMemoryDAO,0,475,0,36,0,91,0,32,0,14
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,AppointmentMemoryDAO,590,0,36,0,95,0,32,0,14,0
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,ServiceMemoryDAO,252,111,33,3,60,27,25,7,7,7
teachersFirst,edu.lwtech.csd297.teachersfirst.daos,OpeningMemoryDAO,672,0,36,0,106,0,32,0,14,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,LogInAction,66,0,12,0,16,0,8,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,NewAppointmentAction,440,0,52,0,117,0,28,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,ActionRunner,122,0,18,0,33,0,12,0,3,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,DeleteOpeningAction,74,0,8,0,21,0,6,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,LogOutAction,26,0,2,0,6,0,3,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,NewMemberAction,199,0,24,0,44,0,14,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,NewOpeningsAction,325,0,42,0,79,0,23,0,2,0
teachersFirst,edu.lwtech.csd297.teachersfirst.actions,DeleteAppointmentAction,87,0,12,0,24,0,8,0,2,0
